week,off_team_name,player_name,receptions_avg,average_passing_yards,average_rushing_yards,average_recieving_yards,passing_tds_avg,rushing_tds_avg,recieving_tds_avg,average_fantasy_points,week_fantasy_points,bust_percent,bust_points_average,boom_percent,boom_points_average,last_three_weeks_diff,passing_target_percentage,rushing_percentage,def_team_name,epa_per_play,epa_per_rush,epa_per_pass,pass_percent,rush_percent,allowed_passing_yards,allowed_rushing_yards,sack_yards,avg_epa_against,pass_epa_against,rush_epa_against,points_against
4,WAS,S.Howell,0.0,223.66666666666666,14.0,0.0,1.0,0.3333333333333333,0.0,12.346666666666666,0,0.3333333333333333,0.5999999999999996,0.3333333333333333,21.26,0.0,0.0,0.0,PHI,-0.2535458765297477,-0.02984608146417442,-0.37310956009927826,64.48087431693989,35.51912568306011,269.3333333333333,47.666666666666664,-13.666666666666666,-0.11993860449617699,-0.030650401710425944,-0.3612067269172488,19.666666666666668
5,WAS,S.Howell,0.0,240.25,20.5,0.0,1.0,0.25,0.0,14.16,0,0.25,0.5999999999999996,0.25,21.26,-0.33999999999999986,0.0,0.0,CHI,-0.1494660286722013,0.00783350565061282,-0.23544341389212453,63.81322957198443,36.18677042801556,266.0,111.5,-4.25,0.21831785912485627,0.44503901257572753,-0.03247987699336422,29.75
6,WAS,S.Howell,0.0,269.8,20.2,0.0,1.2,0.2,0.0,16.412,0,0.2,0.6000000000000014,0.2,25.419999999999998,-1.2053333333333303,0.0,0.011363636363636364,ATL,-0.14080187881182563,-0.047054679314800514,-0.18313932374596592,68.0,32.0,197.8,104.8,-8.4,-0.05248167349519557,0.046149150127531825,-0.17690825098848248,18.0
7,WAS,S.Howell,0.0,250.0,17.333333333333332,0.0,1.5,0.16666666666666666,0.0,16.733333333333334,0,0.16666666666666666,0.6000000000000014,0.16666666666666666,25.419999999999998,4.386666666666667,0.0,0.018691588785046728,NYG,-0.12462867170417241,-0.050555614855724296,-0.16045088772104482,66.75603217158177,33.24396782841823,200.83333333333334,143.16666666666666,-4.833333333333333,0.037879572879452705,0.014603488043378668,0.06314264056738671,24.833333333333332
8,WAS,S.Howell,0.0,249.85714285714286,17.0,0.0,1.2857142857142858,0.14285714285714285,0.0,15.694285714285716,0,0.2857142857142857,5.029999999999999,0.14285714285714285,25.419999999999998,2.0457142857142827,0.0,0.024,PHI,-0.13342342049031689,-0.04883045837563872,-0.1735245824616349,67.5,32.5,239.85714285714286,59.857142857142854,-21.142857142857142,-0.07966392948732631,-0.05181259709875063,-0.1472688730630143,19.285714285714285
9,WAS,S.Howell,0.0,268.25,16.25,0.0,1.625,0.125,0.0,17.605,0,0.25,5.029999999999999,0.25,28.200000000000003,1.9883333333333333,0.0,0.02877697841726619,NE,-0.09151027059586907,-0.03615044505115025,-0.11642219209099251,68.762278978389,31.237721021611005,235.125,98.5,-13.375,0.009711146249209683,0.10098307922546051,-0.11720030341300575,22.75
10,WAS,S.Howell,0.0,274.55555555555554,17.444444444444443,0.0,1.5555555555555556,0.1111111111111111,0.0,17.61555555555556,0,0.2222222222222222,5.030000000000001,0.2222222222222222,28.2,1.7644444444444396,0.0,0.03048780487804878,SEA,-0.07429810105175992,-0.04271714723554642,-0.08903045321860177,68.03418803418803,31.965811965811962,246.625,120.0,-22.625,-0.060752655500228805,-0.09249075306046657,-0.015209197117824853,21.875
11,WAS,S.Howell,0.0,278.3,17.4,0.0,1.7,0.1,0.0,18.272,0,0.2,5.030000000000001,0.2,28.2,6.014666666666667,0.0,0.03932584269662921,NYG,-0.056535072429459744,-0.06529075482009007,-0.05261011135779786,68.88544891640866,31.11455108359133,234.8,127.5,-12.8,0.003733158628508634,0.007943433480070636,-0.0014511350319968428,24.8
12,WAS,S.Howell,0.0,276.27272727272725,19.0,0.0,1.6363636363636365,0.18181818181818182,0.0,18.223636363636363,0,0.18181818181818182,5.030000000000003,0.18181818181818182,28.2,1.6496969696969686,0.0,0.034482758620689655,DAL,-0.06898114320911852,-0.05082453222701637,-0.07734668917814494,68.32641770401106,31.673582295988933,177.5,102.7,-20.5,-0.1807054889346884,-0.23721038182630075,-0.10961868820007942,17.5
13,WAS,S.Howell,0.0,278.25,18.5,0.0,1.5,0.25,0.0,18.146666666666665,0,0.16666666666666666,5.030000000000001,0.25,26.86,1.5933333333333337,0.0,0.034934497816593885,MIA,-0.08412270327603608,-0.06399723385125022,-0.0935801607124956,67.91979949874687,32.08020050125313,233.9090909090909,91.72727272727273,-23.09090909090909,-0.06787421497785347,-0.10097246416874127,-0.014606720186268393,20.636363636363637
15,WAS,S.Howell,0.0,266.61538461538464,18.692307692307693,0.0,1.3846153846153846,0.38461538461538464,0.0,18.22615384615385,0,0.15384615384615385,5.030000000000001,0.15384615384615385,28.2,-0.15282051282051512,0.0,0.03543307086614173,LA,-0.09156948817941869,-0.045658896265153584,-0.11444250709010988,66.70574443141852,33.29425556858148,233.23076923076923,113.6923076923077,-15.0,-0.010287532151152839,-0.02350132948631287,0.008928874339308565,21.23076923076923
16,WAS,S.Howell,0.0,254.85714285714286,18.928571428571427,0.0,1.3571428571428572,0.35714285714285715,0.0,17.515714285714285,0,0.21428571428571427,6.113333333333333,0.21428571428571427,26.86,-2.5957142857142834,0.0,0.033210332103321034,NYJ,-0.09605955686210023,-0.06299334935716276,-0.11262044734356469,66.52030735455543,33.479692645444565,183.92857142857142,123.57142857142857,-17.357142857142858,-0.11626600935930338,-0.11752776609134133,-0.11490880058134298,19.5
17,WAS,S.Howell,0.0,241.6,17.666666666666668,0.0,1.2666666666666666,0.3333333333333333,0.0,16.230666666666668,0,0.26666666666666666,4.145000000000001,0.2,26.860000000000003,-7.664,0.0,0.030821917808219176,SF,-0.1032462198891478,-0.040089776024084846,-0.13532568343965595,66.25386996904025,33.746130030959755,238.86666666666667,87.93333333333334,-19.133333333333333,-0.07271840726423416,-0.10130574276168597,-0.016201997284074537,17.4
4,ARI,J.Dobbs,0.0,183.0,31.0,0.0,0.6666666666666666,0.3333333333333333,0.0,14.420000000000002,0,0.3333333333333333,0.9800000000000004,0.3333333333333333,25.220000000000006,0.0,0.0,0.1,SF,0.03995047006896072,0.04666517722409368,0.03378230884505952,51.162790697674424,48.837209302325576,221.33333333333334,43.333333333333336,-20.0,-0.18014468583833101,-0.21270704773614799,-0.06943265538575354,14.0
5,ARI,J.Dobbs,0.0,203.5,35.25,0.0,1.0,0.25,0.0,16.665,0,0.25,0.9800000000000004,0.5,24.310000000000002,5.228333333333335,0.0,0.14,CIN,0.07316774355243605,0.09804038055103809,0.05315304346762351,54.166666666666664,45.83333333333333,225.5,155.5,-18.25,0.04739287649588652,0.025448517515441912,0.07212677263486225,23.5
6,ARI,J.Dobbs,0.0,196.0,28.4,0.0,1.2,0.2,0.0,15.080000000000002,0,0.4,4.860000000000001,0.4,24.31,1.3200000000000003,0.0,0.13934426229508196,LA,0.00033776459069914975,0.0715617631582964,-0.05428186621267301,55.55555555555556,44.44444444444444,200.8,119.0,-9.2,-0.0009058971598873155,-0.00900495281552097,0.009324488931439386,21.6
7,ARI,J.Dobbs,0.0,202.5,31.5,0.0,1.0,0.16666666666666666,0.0,14.25,0,0.16666666666666666,0.9800000000000004,0.3333333333333333,24.310000000000002,-0.16999999999999993,0.0,0.1292517006802721,SEA,-0.05046579746565756,0.043269452044069484,-0.12042430075828314,56.36856368563685,43.63143631436314,273.4,76.4,-23.6,-0.07686204993776213,-0.033788219018157824,-0.15375417786036158,21.6
8,ARI,J.Dobbs,0.0,194.42857142857142,33.142857142857146,0.0,0.8571428571428571,0.2857142857142857,0.0,14.52,0,0.14285714285714285,0.9800000000000004,0.2857142857142857,24.31,-2.8599999999999977,0.0,0.14705882352941177,BAL,-0.07414325864408118,0.044550402711299744,-0.16059913543380308,56.94444444444444,43.05555555555556,206.28571428571428,94.0,-34.0,-0.1940543695910936,-0.23156960450640132,-0.12076301661085657,12.714285714285714
9,ARI,J.Dobbs,0.0,196.125,32.25,0.0,1.0,0.375,0.0,15.57,0,0.25,4.860000000000001,0.375,23.846666666666668,0.8166666666666664,0.0,0.145,CLE,-0.0920881789030869,0.012726450481516093,-0.16939826015130474,56.74603174603175,43.25396825396825,171.85714285714286,92.71428571428571,-19.285714285714285,-0.2150438940352115,-0.25218790891032333,-0.16689424512302956,18.142857142857142
10,ARI,J.Dobbs,0.0,191.88888888888889,36.0,0.0,1.1111111111111112,0.4444444444444444,0.0,16.608888888888888,0,0.3333333333333333,6.606666666666666,0.4444444444444444,24.115000000000002,4.71777777777778,0.0,0.13425925925925927,ATL,-0.15563558464243557,-0.013941276368761085,-0.260645282359819,56.70289855072463,43.29710144927536,208.33333333333334,105.88888888888889,-13.555555555555555,-0.053340859192625295,0.015504760890403634,-0.14414585809524105,20.666666666666668
