season,week,position,correct,total,accuracy
2024,11,WR_TE,6621,9791,0.6762332754570524
2024,11,UNKNOWN,83,150,0.5533333333333333
2024,12,QB,170,300,0.5666666666666667
2024,12,RB,1083,1419,0.7632135306553911
2024,12,WR_TE,6754,9499,0.7110222128645121
2024,12,UNKNOWN,29,56,0.5178571428571429
2024,13,QB,259,527,0.49146110056925996
2024,13,RB,1469,1942,0.7564366632337796
2024,13,WR_TE,8125,11690,0.695038494439692
2024,13,UNKNOWN,106,245,0.4326530612244898
2024,14,QB,245,325,0.7538461538461538
2024,14,RB,936,1321,0.708554125662377
2024,14,WR_TE,5271,7284,0.7236408566721582
2024,14,UNKNOWN,38,80,0.475
2024,15,QB,382,561,0.6809269162210339
2024,15,RB,1579,2200,0.7177272727272728
2024,15,WR_TE,8552,12415,0.6888441401530406
2024,15,UNKNOWN,129,225,0.5733333333333334
2024,16,QB,327,496,0.6592741935483871
2024,16,RB,1559,2202,0.7079927338782924
2024,16,WR_TE,8623,11954,0.7213485025932742
2024,16,UNKNOWN,153,359,0.42618384401114207
2024,17,QB,369,528,0.6988636363636364
2024,17,RB,1326,1886,0.7030752916224814
2024,17,WR_TE,7984,11862,0.6730736806609341
2024,17,UNKNOWN,167,381,0.43832020997375326
2025,4,QB,174,325,0.5353846153846153
2025,4,RB,785,1127,0.6965394853593612
2025,4,WR_TE,3821,5970,0.640033500837521
2025,4,UNKNOWN,19,55,0.34545454545454546
2025,5,QB,145,253,0.5731225296442688
2025,5,RB,754,1033,0.7299128751210068
2025,5,WR_TE,4048,5852,0.6917293233082706
2025,5,UNKNOWN,61,90,0.6777777777777778
2025,6,QB,265,405,0.654320987654321
2025,6,RB,942,1271,0.7411487018095987
2025,6,WR_TE,5116,7825,0.6538019169329073
2025,6,UNKNOWN,61,135,0.45185185185185184
2025,7,QB,257,434,0.5921658986175116
2025,7,RB,936,1319,0.709628506444276
2025,7,WR_TE,5972,8704,0.6861213235294118
2025,7,UNKNOWN,88,187,0.47058823529411764
2025,8,QB,175,276,0.6340579710144928
2025,8,RB,694,1078,0.6437847866419295
2025,8,WR_TE,4891,7450,0.656510067114094
2025,8,UNKNOWN,55,101,0.5445544554455446
2025,9,QB,156,325,0.48
2025,9,RB,751,1124,0.6681494661921709
2025,9,WR_TE,6872,9755,0.7044592516658124
2025,9,UNKNOWN,57,78,0.7307692307692307
2025,10,QB,204,378,0.5396825396825397
2025,10,RB,1106,1483,0.7457855697909642
2025,10,WR_TE,6266,9207,0.6805691321820354
2025,10,UNKNOWN,68,120,0.5666666666666667
2025,11,QB,208,378,0.5502645502645502
2025,11,RB,1071,1649,0.6494845360824743
2025,11,WR_TE,6875,10353,0.6640587269390514
2025,11,UNKNOWN,50,104,0.4807692307692308
2025,12,QB,211,351,0.6011396011396012
2025,12,RB,903,1273,0.7093479968578161
2025,12,WR_TE,5891,8963,0.6572576146379561
2025,12,UNKNOWN,85,199,0.4271356783919598
2025,13,QB,276,465,0.5935483870967742
2025,13,RB,1428,2010,0.7104477611940299
2025,13,WR_TE,8109,12198,0.6647811116576487
2025,13,UNKNOWN,31,54,0.5740740740740741
2025,14,QB,186,405,0.45925925925925926
2025,14,RB,1428,1944,0.7345679012345679
2025,14,WR_TE,6520,10054,0.6484981102048936
2025,14,UNKNOWN,60,110,0.5454545454545454
2025,15,QB,238,435,0.5471264367816092
2025,15,RB,1463,2009,0.7282229965156795
2025,15,WR_TE,8150,11650,0.6995708154506438
2025,15,UNKNOWN,101,181,0.5580110497237569
