week,off_team_name,player_name,receptions_avg,average_passing_yards,average_rushing_yards,average_recieving_yards,passing_tds_avg,rushing_tds_avg,recieving_tds_avg,average_fantasy_points,week_fantasy_points,bust_percent,bust_points_average,boom_percent,boom_points_average,last_three_weeks_diff,passing_target_percentage,rushing_percentage,def_team_name,epa_per_play,epa_per_rush,epa_per_pass,pass_percent,rush_percent,allowed_passing_yards,allowed_rushing_yards,sack_yards,avg_epa_against,pass_epa_against,rush_epa_against,points_against
14,NYJ,J.Flacco,0.0,300.3333333333333,2.0,0.0,1.6666666666666667,0.0,0.0,14.88,-1.96,0.3333333333333333,3.3999999999999986,0.3333333333333333,26.880000000000003,0.0,0.0,0.0037174721189591076,BUF,-0.04759543353014339,0.01083372340179129,-0.0837780405580154,61.08897742363878,38.91102257636122,233.0,100.16666666666667,-17.583333333333332,-0.029382564076059832,-0.00526368667574881,-0.06814504561227398,16.916666666666668
4,BAL,L.Jackson,0.0,249.66666666666666,81.0,0.0,3.3333333333333335,0.6666666666666666,0.0,34.086666666666666,13.06,0.3333333333333333,20.22,0.3333333333333333,42.620000000000005,0.0,0.0,0.25806451612903225,BUF,0.17476972441172522,0.068224836292123,0.24957783734676509,58.38509316770186,41.61490683229814,178.66666666666666,56.666666666666664,-26.666666666666668,-0.20077639007771375,-0.22438079934650787,-0.16478933988102767,12.666666666666666
5,BAL,L.Jackson,0.0,223.25,79.0,0.0,2.75,0.5,0.0,28.83,14.760000000000002,0.5,16.64,0.5,41.02,2.8700000000000045,0.0,0.21839080459770116,CIN,0.11382234014033228,0.11364961022627557,0.11395776039295269,55.80357142857143,44.19642857142857,254.25,81.75,-12.5,-0.14722326182227102,-0.15668405074901823,-0.12960662037246584,16.0
6,BAL,L.Jackson,0.0,213.4,74.8,0.0,2.4,0.4,0.0,26.016,16.1,0.4,13.91,0.4,41.02000000000001,-3.6026666666666607,0.0,0.25225225225225223,NYG,0.07868091443557372,0.10981151335529975,0.054249305156801396,55.633802816901415,44.36619718309859,204.4,125.2,-10.0,0.012592046433685493,-0.013326723418673272,0.047150406236830554,18.2
7,BAL,L.Jackson,0.0,212.83333333333334,75.16666666666667,0.0,2.1666666666666665,0.3333333333333333,0.0,24.363333333333333,10.7,0.5,14.64,0.3333333333333333,41.019999999999996,-9.723333333333333,0.0,0.24812030075187969,CLE,0.08626329385826065,0.15101365628369054,0.036351556155325114,56.14035087719298,43.859649122807014,228.66666666666666,120.5,-10.5,0.11446675007596059,0.07861874301765417,0.16360108142860436,27.166666666666668
8,BAL,L.Jackson,0.0,199.57142857142858,72.85714285714286,0.0,1.8571428571428572,0.2857142857142857,0.0,22.41142857142857,21.82,0.5714285714285714,13.655000000000001,0.2857142857142857,41.02,-8.558095238095236,0.0,0.22988505747126436,TB,0.05981944081100344,0.11594289510610781,0.008773822856884736,52.22772277227723,47.77227722772277,205.85714285714286,118.14285714285714,-20.428571428571427,-0.06316916470214512,-0.10234556221655096,-0.009192794793408229,17.714285714285715
9,BAL,L.Jackson,0.0,204.375,69.125,0.0,1.875,0.25,0.0,22.337500000000002,17.520000000000003,0.5,13.655000000000003,0.25,41.02,-6.130833333333335,0.0,0.21782178217821782,NO,0.07729057756197115,0.1416959640966097,0.020127563810344112,52.84210526315789,47.1578947368421,222.875,107.75,-17.5,-0.058627040575753867,-0.012782285970481765,-0.1253323713506207,22.0
11,BAL,L.Jackson,0.0,196.44444444444446,70.55555555555556,0.0,1.7777777777777777,0.2222222222222222,0.0,21.802222222222223,15.459999999999999,0.3333333333333333,12.840000000000002,0.2222222222222222,41.02,-5.122222222222224,0.0,0.22727272727272727,CAR,0.08391709902554804,0.1422512985082371,0.028147040179460715,51.11111111111111,48.888888888888886,229.6,137.7,-11.4,0.00713493939477932,0.037082983832135596,-0.029069374599695916,23.1
12,BAL,L.Jackson,0.0,197.7,66.6,0.0,1.6,0.3,0.0,21.168,23.060000000000002,0.3,12.839999999999998,0.2,41.02,-2.90133333333333,0.0,0.2342007434944238,JAX,0.0628508024605331,0.12234530581828335,0.0072070760191421225,51.570247933884296,48.4297520661157,258.2,108.3,-10.6,0.02026244969594278,0.0499705235364415,-0.0234678349972713,20.5
13,BAL,L.Jackson,0.0,202.8181818181818,68.63636363636364,0.0,1.5454545454545454,0.2727272727272727,0.0,21.34,1.34,0.2727272727272727,12.84,0.18181818181818182,41.02,-2.6599999999999966,0.0,0.2408026755852843,DEN,0.06637422997262293,0.10809571003889407,0.02697060991003353,51.41158989598811,48.588410104011885,199.27272727272728,120.0909090909091,-18.90909090909091,-0.09940221896605662,-0.15625865825876148,-0.019397086532750494,17.09090909090909
4,BUF,J.Allen,0.0,338.0,37.666666666666664,0.0,3.0,0.3333333333333333,0.0,29.286666666666665,23.52,0.0,29.286666666666665,0.0,29.286666666666665,0.0,0.0,0.13559322033898305,BAL,0.15826145408901668,-0.0062147378465969095,0.24170893382105585,66.98564593301435,33.014354066985646,366.3333333333333,104.33333333333333,-13.0,0.09281530554770012,0.09657442761589773,0.0839025483860059,25.666666666666668
5,BUF,J.Allen,0.0,306.75,45.75,0.0,2.5,0.5,0.0,27.845,35.16,0.0,27.845,0.0,27.845,-1.2116666666666696,0.0,0.15584415584415584,PIT,0.14959247927088581,-0.010615454017090985,0.23528509475050127,65.79925650557621,34.20074349442379,266.0,132.5,-14.5,0.023979619246578744,0.003877945765444779,0.04962112400204102,21.0
6,BUF,J.Allen,0.0,330.2,45.0,0.0,2.8,0.4,0.0,29.308000000000003,26.36,0.0,29.308000000000003,0.0,29.308000000000003,-0.8480000000000061,0.0,0.14772727272727273,KC,0.18365127583556295,0.031545934191287824,0.2611664980196648,66.5625,33.4375,277.4,84.2,-21.8,0.027862470558775665,0.04643876728386667,-0.012262330367420936,25.0
8,BUF,J.Allen,0.0,330.0,42.833333333333336,0.0,2.8333333333333335,0.3333333333333333,0.0,28.816666666666666,17.62,0.0,28.816666666666666,0.16666666666666666,35.16,-0.4700000000000024,0.0,0.17699115044247787,GB,0.17419125658841778,0.009197112731679056,0.2629832858125261,65.12820512820512,34.87179487179487,178.57142857142858,138.57142857142858,-14.285714285714286,0.00787224179193339,-0.04316835345727546,0.05970621416936826,19.142857142857142
9,BUF,J.Allen,0.0,314.0,43.714285714285715,0.0,2.7142857142857144,0.2857142857142857,0.0,27.217142857142857,24.799999999999997,0.14285714285714285,17.62,0.14285714285714285,35.16,-0.8371428571428581,0.0,0.16417910447761194,NYJ,0.1663533188338436,0.03863218080628105,0.2394690427771584,63.43115124153499,36.56884875846501,209.25,106.875,-16.625,-0.08691952325964261,-0.11654999708608452,-0.04549303141698687,19.875
10,BUF,J.Allen,0.0,300.375,49.0,0.0,2.375,0.5,0.0,26.915,19.6,0.125,17.62,0.125,35.16,-3.9883333333333333,0.0,0.1830065359477124,MIN,0.14291374863191766,0.09637815851316853,0.16950551441405995,63.49206349206349,36.507936507936506,275.375,105.75,-19.0,-0.01094414520564846,0.017575009601046358,-0.053226275217564165,20.125
11,BUF,J.Allen,0.0,303.6666666666667,52.888888888888886,0.0,2.2222222222222223,0.4444444444444444,0.0,26.102222222222224,12.58,0.2222222222222222,18.61,0.1111111111111111,35.16,-5.428888888888888,0.0,0.1657142857142857,CLE,0.115484448402174,0.050540650969566135,0.15293115054298134,63.36805555555556,36.63194444444444,219.44444444444446,123.88888888888889,-14.88888888888889,0.0930743663210774,0.05631108476600266,0.1395978111208623,26.444444444444443
