home_team,away_team,week,posteam,defteam,side_of_field,yardline_100,down,play_type,yards_gained,qb_kneel,qb_spike,qb_scramble,field_goal_result,extra_point_result,two_point_conv_result,td_team,epa,third_down_converted,fourth_down_converted,interception,penalty,fumble_lost,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,kickoff_attempt,complete_pass,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,fumbled_1_player_name,penalty_team,penalty_yards
NO,ARI,1,,,,,,,,0,0,0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
NO,ARI,1,ARI,NO,NO,35.0,,kickoff,0.0,0,0,0,,,,,-0.352699665818363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,
NO,ARI,1,ARI,NO,ARI,78.0,1.0,run,3.0,0,0,0,,,,,-0.19005232071504,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Conner,3.0,,,
NO,ARI,1,ARI,NO,ARI,75.0,2.0,pass,11.0,0,0,0,,,,,1.31733980588615,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,K.Murray,11.0,T.McBride,11.0,,,,,
NO,ARI,1,ARI,NO,ARI,64.0,1.0,pass,-11.0,0,0,0,,,,,-1.69435995956883,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K.Murray,,,,,,,,
NO,ARI,1,ARI,NO,ARI,75.0,2.0,run,-2.0,0,0,0,,,,,-1.28414953872561,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Conner,-2.0,,,
NO,ARI,1,ARI,NO,ARI,77.0,3.0,run,1.0,0,0,0,,,,,-0.840573716908693,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,T.Benson,1.0,,,
NO,ARI,1,ARI,NO,ARI,76.0,4.0,punt,0.0,0,0,0,,,,,0.65058864466846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
NO,ARI,1,NO,ARI,NO,77.0,1.0,run,3.0,0,0,0,,,,,-0.194727842696011,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,A.Kamara,3.0,,,
NO,ARI,1,NO,ARI,NO,74.0,2.0,pass,0.0,0,0,0,,,,,-0.788526989053935,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S.Rattler,,R.Shaheed,,,,,,
