home_team,away_team,week,posteam,defteam,side_of_field,yardline_100,down,play_type,yards_gained,qb_kneel,qb_spike,qb_scramble,field_goal_result,extra_point_result,two_point_conv_result,td_team,epa,third_down_converted,fourth_down_converted,interception,penalty,fumble_lost,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,kickoff_attempt,complete_pass,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,fumbled_1_player_name,penalty_team,penalty_yards,result
TEN,ARI,1,ARI,TEN,TEN,5.0,1.0,pass,0.0,0,0,0,,,,,-0.448300892603584,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K.Murray,,A.Green,,,,,,,-25
TEN,ARI,1,ARI,TEN,TEN,5.0,2.0,pass,0.0,0,0,0,,,,,-0.881277125386987,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K.Murray,,D.Harris,,,,,,,-25
TEN,ARI,1,,,,,,no_play,0.0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,-25
TEN,ARI,1,ARI,TEN,TEN,5.0,3.0,pass,5.0,0,0,0,,,,ARI,2.69188695400953,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,K.Murray,5.0,D.Hopkins,5.0,,,,,,-25
TEN,ARI,1,ARI,TEN,TEN,15.0,,extra_point,0.0,0,0,0,,good,,,0.0675730031076331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,-25
TEN,ARI,1,TEN,ARI,ARI,35.0,,kickoff,0.0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,-25
TEN,ARI,1,TEN,ARI,TEN,75.0,1.0,run,2.0,0,0,0,,,,,-0.483267963863909,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,D.Henry,2.0,,,,-25
TEN,ARI,1,TEN,ARI,TEN,73.0,2.0,run,7.0,0,0,0,,,,,-1.82209791359492,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,D.Henry,7.0,,TEN,15.0,-25
TEN,ARI,1,TEN,ARI,TEN,81.0,3.0,pass,0.0,0,0,0,,,,,-1.11588760465384,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R.Tannehill,,J.McNichols,,,,,,,-25
TEN,ARI,1,TEN,ARI,TEN,81.0,4.0,punt,0.0,0,0,0,,,,,0.449995463248342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,-25
