home_team,away_team,week,posteam,defteam,side_of_field,yardline_100,down,play_type,yards_gained,qb_kneel,qb_spike,qb_scramble,field_goal_result,extra_point_result,two_point_conv_result,td_team,epa,third_down_converted,fourth_down_converted,interception,penalty,fumble_lost,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,kickoff_attempt,complete_pass,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,fumbled_1_player_name,penalty_team,penalty_yards
BUF,ARI,1,ARI,BUF,ARI,67.0,2.0,pass,2.0,0,0,0,,,,,-0.547627533320338,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,K.Murray,2.0,J.Conner,2.0,,,,,
BUF,ARI,1,ARI,BUF,ARI,65.0,3.0,pass,24.0,0,0,0,,,,,2.66491455235519,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,K.Murray,24.0,E.Demercado,24.0,,,,,
BUF,ARI,1,ARI,BUF,BUF,41.0,1.0,pass,6.0,0,0,0,,,,,0.213528060005046,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,K.Murray,6.0,T.McBride,6.0,,,,,
BUF,ARI,1,ARI,BUF,BUF,35.0,2.0,pass,7.0,0,0,0,,,,,0.688560766051523,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,K.Murray,7.0,E.Higgins,7.0,,,,,
BUF,ARI,1,ARI,BUF,BUF,28.0,1.0,run,11.0,0,0,0,,,,,0.716792834107764,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,K.Murray,11.0,,,
BUF,ARI,1,ARI,BUF,BUF,17.0,1.0,pass,3.0,0,0,0,,,,,-0.230540831573308,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,K.Murray,3.0,G.Dortch,3.0,,,,,
BUF,ARI,1,ARI,BUF,BUF,14.0,2.0,run,1.0,0,0,0,,,,,-0.652270698104985,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Conner,1.0,,,
BUF,ARI,1,ARI,BUF,BUF,13.0,3.0,pass,2.0,0,0,0,,,,,-1.02109916444991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,K.Murray,2.0,E.Demercado,2.0,,,,,
BUF,ARI,1,ARI,BUF,,,,,,0,0,0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
BUF,ARI,1,ARI,BUF,BUF,11.0,4.0,field_goal,0.0,0,0,0,made,,,,0.135574413064238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
BUF,ARI,1,BUF,ARI,ARI,35.0,,kickoff,0.0,0,0,0,,,,,0.311864278279245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,
BUF,ARI,1,BUF,ARI,BUF,70.0,1.0,no_play,0.0,0,0,0,,,,,0.439983618911356,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,ARI,6.0
BUF,ARI,1,BUF,ARI,BUF,64.0,1.0,run,15.0,0,0,0,,,,,0.816008602734655,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Cook,15.0,,,
BUF,ARI,1,BUF,ARI,ARI,49.0,1.0,run,5.0,0,0,0,,,,,-0.0229389243759215,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Cook,5.0,,,
BUF,ARI,1,BUF,ARI,ARI,44.0,2.0,pass,23.0,0,0,0,,,,,1.87011055147741,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,J.Allen,23.0,D.Knox,23.0,,,,,
BUF,ARI,1,BUF,ARI,ARI,21.0,1.0,run,9.0,0,0,0,,,,,0.697903182241134,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Cook,9.0,,,
BUF,ARI,1,BUF,ARI,ARI,12.0,2.0,run,4.0,0,0,0,,,,,0.063546137243975,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Cook,4.0,,,
BUF,ARI,1,BUF,ARI,ARI,8.0,1.0,run,4.0,0,0,0,,,,,0.130477478087414,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Cook,4.0,,,
BUF,ARI,1,BUF,ARI,ARI,4.0,2.0,run,0.0,0,0,0,,,,,-1.00880465097725,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Cook,0.0,,,
BUF,ARI,1,BUF,ARI,ARI,4.0,3.0,no_play,0.0,0,0,0,,,,,-1.52059745672159,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,BUF,15.0
BUF,ARI,1,BUF,ARI,ARI,19.0,3.0,pass,0.0,0,0,0,,,,,-0.477471196010757,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J.Allen,,,,,,,,
BUF,ARI,1,BUF,ARI,ARI,19.0,4.0,field_goal,0.0,0,0,0,made,,,,0.473750225302811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
BUF,ARI,1,ARI,BUF,BUF,35.0,,kickoff,0.0,0,0,0,,,,,0.180726162157953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,
BUF,ARI,1,ARI,BUF,ARI,71.0,1.0,pass,5.0,0,0,0,,,,,-0.0886164698749781,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,K.Murray,5.0,T.Benson,5.0,,,,,
BUF,ARI,1,ARI,BUF,ARI,66.0,2.0,run,6.0,0,0,0,,,,,0.670420314418152,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,T.Benson,6.0,,,
BUF,ARI,1,ARI,BUF,ARI,60.0,1.0,pass,0.0,0,0,0,,,,,-0.414683443494141,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K.Murray,,M.Harrison,,,,,,
BUF,ARI,1,ARI,BUF,ARI,60.0,2.0,pass,4.0,0,0,0,,,,,-0.207020404981449,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,K.Murray,4.0,M.Harrison,4.0,,,,,
BUF,ARI,1,ARI,BUF,ARI,56.0,3.0,run,12.0,0,0,1,,,,,1.69078098493628,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,K.Murray,12.0,,,
BUF,ARI,1,ARI,BUF,BUF,44.0,1.0,pass,5.0,0,0,0,,,,,0.189209813950583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,K.Murray,5.0,E.Higgins,5.0,,,,,
BUF,ARI,1,ARI,BUF,BUF,39.0,2.0,pass,0.0,0,0,0,,,,,-0.694935981882736,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K.Murray,,T.McBride,,,,,,
BUF,ARI,1,ARI,BUF,BUF,39.0,3.0,pass,14.0,0,0,0,,,,,1.71018282312434,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,K.Murray,14.0,G.Dortch,14.0,,,,,
BUF,ARI,1,ARI,BUF,BUF,25.0,1.0,run,4.0,0,0,0,,,,,-0.124969534634147,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,T.Benson,4.0,,,
BUF,ARI,1,ARI,BUF,BUF,21.0,2.0,pass,8.0,0,0,0,,,,,0.886402877920773,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,K.Murray,8.0,T.McBride,8.0,,,,,
BUF,ARI,1,ARI,BUF,BUF,13.0,1.0,run,3.0,0,0,0,,,,,-0.384524157270789,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,T.Benson,3.0,,,
BUF,ARI,1,ARI,BUF,BUF,10.0,2.0,pass,7.0,0,0,0,,,,,1.46074030312593,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,K.Murray,7.0,T.McBride,7.0,,,,,
BUF,ARI,1,ARI,BUF,BUF,3.0,1.0,run,3.0,0,0,0,,,,ARI,1.03596623198246,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,J.Conner,3.0,,,
BUF,ARI,1,ARI,BUF,BUF,15.0,,extra_point,0.0,0,0,0,,good,,,0.0675730031076331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,
BUF,ARI,1,BUF,ARI,ARI,35.0,,kickoff,0.0,0,0,0,,,,,0.371066297637299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,
BUF,ARI,1,BUF,ARI,BUF,70.0,1.0,no_play,0.0,0,0,0,,,,,-0.565648599877022,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,BUF,5.0
BUF,ARI,1,BUF,ARI,BUF,75.0,1.0,run,6.0,0,0,0,,,,,0.111170350341126,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Ty.Johnson,6.0,,,
BUF,ARI,1,BUF,ARI,BUF,69.0,2.0,pass,8.0,0,0,0,,,,,0.451450948370621,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,J.Allen,8.0,C.Samuel,8.0,,,,,
BUF,ARI,1,BUF,ARI,BUF,61.0,3.0,no_play,0.0,0,0,0,,,,,-0.800534668262117,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,BUF,5.0
BUF,ARI,1,BUF,ARI,BUF,66.0,3.0,pass,19.0,0,0,0,,,,,1.89343778218608,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,J.Allen,19.0,K.Shakir,19.0,,,,,
BUF,ARI,1,BUF,ARI,ARI,47.0,1.0,no_play,0.0,0,0,0,,,,,-0.598616166040301,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,BUF,5.0
BUF,ARI,1,,,,,,no_play,0.0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
BUF,ARI,1,BUF,ARI,BUF,52.0,1.0,run,6.0,0,0,1,,,,,0.567122972977813,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Allen,6.0,,ARI,5.0
BUF,ARI,1,BUF,ARI,ARI,41.0,1.0,no_play,0.0,0,0,0,,,,,1.11112188134575,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,ARI,15.0
BUF,ARI,1,BUF,ARI,ARI,26.0,1.0,pass,12.0,0,0,0,,,,,1.02953395919758,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,J.Allen,12.0,K.Coleman,12.0,,,,,
BUF,ARI,1,BUF,ARI,ARI,14.0,1.0,run,7.0,0,0,1,,,,,0.309518076857785,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Allen,7.0,,,
BUF,ARI,1,,,,,,no_play,0.0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
BUF,ARI,1,BUF,ARI,ARI,7.0,2.0,run,7.0,0,0,0,,,,BUF,2.16006812674459,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,J.Allen,7.0,,,
BUF,ARI,1,BUF,ARI,ARI,15.0,,extra_point,0.0,0,0,0,,good,,,0.0675730031076331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,
BUF,ARI,1,ARI,BUF,BUF,35.0,,kickoff,0.0,0,0,0,,,,,-0.142018594866386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,
BUF,ARI,1,ARI,BUF,ARI,96.0,1.0,qb_kneel,-1.0,1,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,K.Murray,-1.0,,,
BUF,ARI,1,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUF,ARI,1,BUF,ARI,ARI,35.0,,kickoff,0.0,0,0,0,,,,,0.926186010241508,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,ARI,0.0
BUF,ARI,1,BUF,ARI,BUF,60.0,1.0,run,1.0,0,0,0,,,,,-0.822719354182482,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Cook,1.0,,BUF,10.0
BUF,ARI,1,BUF,ARI,BUF,69.0,1.0,pass,4.0,0,0,0,,,,,-0.394552198704332,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,J.Allen,4.0,J.Cook,4.0,,,,,
BUF,ARI,1,BUF,ARI,BUF,65.0,2.0,pass,4.0,0,0,0,,,,,-0.366703710984439,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,J.Allen,4.0,K.Coleman,4.0,,,,,
BUF,ARI,1,BUF,ARI,BUF,61.0,3.0,pass,25.0,0,0,0,,,,,3.12902289966587,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,J.Allen,25.0,J.Cook,25.0,,,,,
BUF,ARI,1,BUF,ARI,ARI,36.0,1.0,run,-2.0,0,0,0,,,,,-1.08648546633776,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Cook,-2.0,,,
BUF,ARI,1,BUF,ARI,ARI,38.0,2.0,pass,14.0,0,0,0,,,,,1.89250474085566,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,J.Allen,14.0,R.Davis,14.0,,,,,
BUF,ARI,1,BUF,ARI,ARI,24.0,1.0,run,13.0,0,0,0,,,,,0.530069595668465,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,R.Davis,13.0,,,
BUF,ARI,1,BUF,ARI,ARI,11.0,1.0,run,0.0,0,0,0,,,,,-0.476553388522007,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,R.Davis,0.0,,,
BUF,ARI,1,BUF,ARI,ARI,11.0,2.0,pass,0.0,0,0,0,,,,,-0.784664166043513,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J.Allen,,D.Kincaid,,,,,,
BUF,ARI,1,BUF,ARI,ARI,11.0,3.0,pass,11.0,0,0,0,,,,BUF,2.97979727049824,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,J.Allen,11.0,M.Hollins,11.0,,,,,
BUF,ARI,1,BUF,ARI,ARI,15.0,,extra_point,0.0,0,0,0,,good,,,0.0675730031076331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,
BUF,ARI,1,ARI,BUF,BUF,35.0,,kickoff,0.0,0,0,0,,,,,0.292819384019822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,
BUF,ARI,1,ARI,BUF,ARI,70.0,1.0,run,2.0,0,0,0,,,,,-0.362471924629062,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Conner,2.0,,,
BUF,ARI,1,ARI,BUF,ARI,68.0,2.0,run,2.0,0,0,0,,,,,-0.516522000543773,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Conner,2.0,,,
BUF,ARI,1,ARI,BUF,ARI,66.0,3.0,pass,-8.0,0,0,0,,,,,-2.12088126223534,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K.Murray,,,,,,,,
BUF,ARI,1,ARI,BUF,ARI,74.0,4.0,punt,0.0,0,0,0,,,,,0.0776130792219192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
BUF,ARI,1,BUF,ARI,BUF,69.0,1.0,pass,3.0,0,0,0,,,,,-0.285451837116852,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,J.Allen,3.0,J.Cook,3.0,,,,,
BUF,ARI,1,BUF,ARI,BUF,66.0,2.0,run,0.0,0,0,0,,,,,-0.77065972564742,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,R.Davis,0.0,,,
BUF,ARI,1,BUF,ARI,BUF,66.0,3.0,pass,0.0,0,0,0,,,,,-1.39396929647774,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J.Allen,,M.Valdes-Scantling,,,,,,
