raw_name,normalized_name,position
K.Lambert-Smith,KLambertSmith,WR
J.Brownlee,JBrownlee,WR
A.Thielen,AThielen,WR
M.Nabers,MNabers,WR
N.Brown,NBrown,WR
T.McLaurin,TMcLaurin,WR
D.Slayton,DSlayton,WR
G.Wilson,GWilson,WR
D.Metcalf,DMetcalf,WR
B.Skowronek,BSkowronek,WR
T.Franklin,TFranklin,WR
T.Tucker,TTucker,WR
E.Egbuka,EEgbuka,WR
C.Dike,CDike,WR
N.Westbrook-Ikhine,NWestbrookIkhine,WR
Q.Johnston,QJohnston,WR
R.Pearsall,RPearsall,WR
M.Golden,MGolden,WR
G.Dortch,GDortch,WR
J.Chase,JChase,WR
G.Larvadain,GLarvadain,WR
K.Mumpfield,KMumpfield,WR
L.Humphrey,LHumphrey,WR
C.Samuel,CSamuel,WR
X.Weaver,XWeaver,WR
J.Bobo,JBobo,WR
L.Burden,LBurden,WR
N.Remigio,NRemigio,WR
R.Flournoy,RFlournoy,WR
R.Shaheed,RShaheed,WR
S.Shepard,SShepard,WR
A.Dulin,ADulin,WR
M.Washington,MWashington,WR
X.Hutchinson,XHutchinson,WR
X.Worthy,XWorthy,WR
J.Smith-Njigba,JSmithNjigba,WR
J.Noel,JNoel,WR
M.Mims,MMims,WR
A.Iosivas,AIosivas,WR
P.Nacua,PNacua,WR
J.Whittington,JWhittington,WR
N.Collins,NCollins,WR
J.Nailor,JNailor,WR
M.Corley,MCorley,WR
K.Shakir,KShakir,WR
W.Robinson,WRobinson,WR
K.Turpin,KTurpin,WR
J.Lane,JLane,WR
J.Hyatt,JHyatt,WR
B.Collins,BCollins,WR
K.Austin,KAustin,WR
A.Lazard,ALazard,WR
J.Mitchell,JMitchell,WR
J.Addison,JAddison,WR
L.McCaffrey,LMcCaffrey,WR
T.Hunter,THunter,WR
M.Harrison,MHarrison,WR
E.Moore,EMoore,WR
M.Hollins,MHollins,WR
D.Sills,DSills,WR
T.Felton,TFelton,WR
O.Gadsden,OGadsden,WR
C.Kirk,CKirk,WR
D.Young,DYoung,WR
V.Jefferson,VJefferson,WR
J.Metchie,JMetchie,WR
T.Horton,THorton,WR
M.Valdes-Scantling,MValdesScantling,WR
K.Bourne,KBourne,WR
M.Heath,MHeath,WR
D.Mooney,DMooney,WR
T.Shavers,TShavers,WR
B.Tremayne,BTremayne,WR
B.Cooks,BCooks,WR
T.Higgins,THiggins,WR
C.Tillman,CTillman,WR
J.Jeudy,JJeudy,WR
J.Thrash,JThrash,WR
G.Pickens,GPickens,WR
C.Lamb,CLamb,WR
D.Vele,DVele,WR
R.Bateman,RBateman,WR
D.Hopkins,DHopkins,WR
T.McMillan,TMcMillan,WR
H.Renfrow,HRenfrow,WR
T.Wallace,TWallace,WR
P.Bryant,PBryant,WR
T.Patrick,TPatrick,WR
M.Tinsley,MTinsley,WR
