first_name,last_name,team,position
Josh,Kelly,HOU,WR
Stephen,Gosnell,BUF,WR
Lucas,Scott,BAL,FB
Jack,Bech,LV,WR
Garrett,Greene,TB,WR
Pat,Bryant,DEN,WR
Andrew,Armstrong,KC,WR
Monaray,Baldwin,MIA,WR
Raheim,Sanders,CLE,RB
Elijhah,Badger,KC,WR
Demeer,Blankumsee,NE,WR
Jahmal,Banks,BAL,WR
J.J.,Jones,JAX,WR
Junior,Bergen,SF,WR
Kaden,Prather,BUF,WR
Zakhari,Franklin,LV,WR
Cam,Skattebo,NYG,RB
Ketron,Jackson Jr.,LV,WR
Joaquin,Davis,MIN,WR
Coleman,Owen,IND,WR
Landon,Parker,IND,WR
Darius,Lassiter,JAX,WR
Jacolby,George,CAR,WR
Ja'Corey,Brooks,WAS,WR
Dominic,Lovett,DET,WR
Courtney,Jackson,SEA,WR
Jayden,Higgins,HOU,WR
Luther,Burden III,CHI,WR
Silas,Bolden,HOU,WR
Darius,Cooper,PHI,WR
Luke,Floriea,CLE,WR
Tai,Felton,MIN,WR
Jordan,Bly,NYG,WR
Jackson,Meeks,DET,WR
Ricky,White III,SEA,WR
Roc,Taylor,PIT,WR
Tez,Johnson,TB,WR
AJ,Henning,MIA,WR
Blayne,Taylor,IND,WR
Mac,Dalena,NYJ,WR
Dontae,Fleming,MIN,WR
Dalevon,Campbell,LAC,WR
Jerjuan,Newton,DEN,WR
Eli,Pancol,IND,WR
Bryson,Green,ARI,WR
Jimmy,Horn Jr.,CAR,WR
Tru,Edwards,LA,WR
Elijah,Arroyo,SEA,TE
Konata,Mumpfield,LA,WR
Ke'Shawn,Williams,CIN,WR
Giles,Jackson,PHI,WR
Dalen,Cambre,NYG,WR
Xavier,Guillory,BAL,WR
Rivaldo,Fairweather,ARI,TE
Xavier,Restrepo,TEN,WR
Kobe,Hudson,CAR,WR
Devin,Neal,NO,RB
Marcus,Yarns,NO,RB
Tommy,Mellott,NO,WR
Jimmy,Holiday,KC,WR
Beaux,Collins,NYG,WR
Isaiah,Neyor,GB,WR
Da'Quan,Felton,NYG,WR
Brennan,Presley,LA,WR
Kisean,Johnson,GB,WR
Daniel,Jackson,HOU,WR
Theo,Wease Jr.,MIA,WR
Taylor,Morin,PHI,WR
Efton,Chism III,NE,WR
Luke,Grimm,LAC,WR
Dorian,Singer,JAX,WR
TJ,Sheffield,TEN,WR
Kyrese,Rowan,DEN,WR
Nick,Kallerup,SEA,TE
Moochie,Dixon,NO,WR
Gage,Larvadain,CLE,WR
Savion,Williams,GB,WR
Isaac,TeSlaa,DET,WR
Marshall,Lang,NE,TE
Cade,McDonald,CLE,WR
Tre',Harris,LAC,WR
Nick,Nash,WAS,WR
Jalen,Royals,KC,WR
Jordan,Watkins,SF,WR
Robert,Lewis,MIN,WR
Tyler,Neville,DAL,TE
Drake,Dabney,GB,TE
Jacoby,Jones,WAS,WR
Gunnar,Helm,TEN,TE
Key'Shawn,Smith,KC,WR
Maximilian,Mang,NYG,TE
Dymere,Miller,NYJ,WR
Jamaal,Pritchett,NYJ,WR
Tetairoa,McMillan,CAR,WR
Luke,Deal,DET,TE
Jalin,Conyers,MIA,TE
Jaylin,Lane,WAS,WR
Mario,Williams,LA,WR
LaJohntay,Wester,BAL,WR
Kole,Taylor,CIN,TE
Jaylin,Noel,HOU,WR
JJ,Galbreath,PIT,TE
Dont'e,Thornton Jr.,LV,WR
JP,Richardson,CHI,WR
Oscar,Cardenas,ARI,TE
Caleb,Lohner,DEN,TE
Zach,Horton,DET,TE
Quentin,Skinner,NYJ,WR
KeAndre,Lambert-Smith,LAC,WR
John,Copenhaver,JAX,TE
Jeremiah,Webb,NE,WR
Jackson,Hawes,BUF,TE
Quincy,Skinner Jr.,ATL,WR
Terrance,Ferguson,LA,TE
Myles,Price,MIN,WR
Chris,Tyree,NO,WR
Patrick,Herbert,JAX,TE
Caden,Prieskorn,CLE,TE
Keleki,Latu,BUF,TE
Pat,Conroy,LV,TE
Tyler,Warren,IND,TE
Arian,Smith,NYJ,WR
Jake,Briningstool,KC,TE
Gavin,Bartholomew,MIN,TE
Kyle,Williams,NE,WR
Mitchell,Evans,CAR,TE
Jahdae,Walker,CHI,WR
Seth,Green,NO,TE
Sal,Cannella,CLE,TE
Sam,Pitz,BAL,TE
Luke,Lachey,HOU,TE
Juice,Wells Jr.,NYG,WR
Bryson,Nesbit,MIN,TE
Bryce,Pierre,CAR,TE
Colston,Loveland,CHI,TE
Carter,Runyon,LV,TE
CJ,Dippre,NE,TE
Tre,Watson,KC,TE
Mark,Redman,LA,TE
Harold,Fannin Jr.,CLE,TE
Moliki,Matavao,NO,TE
Anthony,Torres,LA,TE
Thomas,Fidone II,NYG,TE
Ben,Yurosek,MIN,TE
Oronde,Gadsden,LAC,TE
Mason,Taylor,NYJ,TE
Joshua,Simon,ATL,TE
Jermaine,Terry II,NYG,TE
Stevo,Klotz,LAC,TE
Gee,Scott Jr.,WAS,TE
Jordan,Petaia,LAC,TE
